campingplatzweg;60200201;16.4805641;48.2757438
canisiusgasse;60200202;16.3548089;48.2280474
carabelligasse;60200203;16.4108099;48.2802157
carlbergergasse;60200204;16.2979545;48.1412137
celtesgasse;60200206;16.2971191;48.2517576
hafen freudenau;60200207;16.4723804;48.1786053
chimanistraße;60200208;16.3437686;48.23953
cobenzl parkplatz;60200209;16.3214365;48.2639884
cobenzlgasse;60200210;16.3305095;48.2636355
columbusplatz;60200211;16.3736915;48.182361
triester straße computerstraße;60200212;16.3420169;48.1576358
concordiaplatz;60200213;16.3700623;48.2137011
corvinusgasse;60200214;16.2806889;48.1444626
cottagegasse;60200215;16.3418193;48.2338638
cottagestraße;60200216;16.2262959;48.2151317
czartoryskigasse;60200217;16.3274462;48.227808
dahliengasse;60200218;16.444901;48.2869108
dammstraße;60200219;16.3752546;48.2346895
dampfkraftwerk donaustadt;60200220;16.4609179;48.1974765
dampfschiffhaufen;60200221;16.4322257;48.2171369
danzergasse;60200222;16.4884064;48.2087804
daphneweg;60200223;16.5302499;48.244352
daringergasse;60200224;16.3347316;48.2466312
davidgasse;60200225;16.3563271;48.1754724
deindorfstraße;60200226;16.5432395;48.2169274
deißenhofergasse;60200227;16.2801679;48.1584088
laxenburger straße heizwerkstraße;60200228;16.3587435;48.1396072
dietmayrgasse;60200229;16.3685531;48.2392129
dirnelwiese;60200230;16.3792611;48.2930254
dobrowskygasse;60200231;16.3319737;48.1434855
zehdengasse;60200232;16.4381816;48.2594911
dommayergasse;60200233;16.298781;48.1864517
donauinsel;60200234;16.4109806;48.2289989
floridsdorfer brücke;60200235;16.3878669;48.2485993
donaustadtstraße;60200236;16.4436882;48.2336843
donauwarte;60200237;16.3459785;48.2845557
siebeckstraße;60200238;16.4346512;48.2418333
dopschstraße;60200239;16.4388283;48.2692386
dorfmeistergasse;60200240;16.2961759;48.1645267
dornbacher straße;60200241;16.3018712;48.2281611
dostalgasse;60200242;16.2632885;48.159835
dostgasse;60200243;16.2531735;48.2201535
doktor adolf schärf heim;60200244;16.3698826;48.2458296
stubentor;60200245;16.3802761;48.2070682
ring volkstheater u;60200246;16.3598574;48.2067808
doktor neumann gasse;60200247;16.2882258;48.1381804
doktor schober straße;60200248;16.2728736;48.1667316
draugasse;60200249;16.4386307;48.2854703
dunantgasse;60200250;16.3889269;48.2600294
dänenstraße;60200251;16.3345519;48.2371008
döblinger bad;60200252;16.3569828;48.2511595
döblinger friedhof;60200253;16.3285781;48.2393445
döblinger steg;60200254;16.3654;48.2407744
dörmanngasse;60200255;16.5341486;48.2226673
kraftwerk simmering;60200256;16.4299081;48.1835828
eberstorferweg;60200257;16.2800601;48.1546515
edelsteingasse;60200258;16.4256051;48.262296
edenstraße;60200259;16.2463284;48.2148025
strebersdorf, edmund hawranek platz;60200260;16.3865464;48.2914057
eduard kittenberger gasse;60200261;16.3032187;48.1368196
albrechtskreithgasse;60200262;16.3204663;48.2192797
egon friedell gasse;60200263;16.4364119;48.2738904
eibesbrunnergasse;60200264;16.3374624;48.1710333
eichbachgasse;60200266;16.2472896;48.2219491
eichenstraße;60200267;16.3498412;48.1804263
einsiedeleigasse;60200268;16.2643486;48.1833852
einsiedlerplatz;60200269;16.3494729;48.1852599
luzegasse;60200270;16.4501561;48.1608237
eipeldauer straße;60200271;16.4365915;48.2630794
eisenstadtplatz;60200272;16.3845701;48.1694757
eisstoßgasse;60200273;16.4409124;48.217933
elderschplatz;60200274;16.4122562;48.2179449
elsbeergasse;60200275;16.2544042;48.2184836
elterleinplatz;60200276;16.3310575;48.2181784
embelgasse;60200277;16.3522667;48.1826904
endemanngasse;60200278;16.2904356;48.1530933
engerthstraße innstraße;60200279;16.3927897;48.2333193
engerthstraße traisengasse;60200280;16.3892234;48.236329
englisch feld gasse;60200281;16.5363315;48.20981
donaumarina;60200282;16.4309681;48.2061223
erdbergstraße schlachthausgasse;60200283;16.4079712;48.1952909
erlaaer straße;60200285;16.3165317;48.1418491
erlachplatz;60200286;16.3690023;48.1786353
erndtgasse;60200287;16.3226582;48.2373222
erzherzog karl straße;60200288;16.4532283;48.2295674
erdberg;60200289;16.4139989;48.1915243
donaustadtbrücke;60200290;16.4401309;48.2117915
eselstiege;60200291;16.2868154;48.2243909
eslarngasse;60200292;16.3958799;48.1967281
esterházygasse;60200293;16.3508923;48.1951113
etrichstraße;60200294;16.4614389;48.1484365
daumegasse;60200295;16.3745539;48.1639336
evangelischer friedhof;60200296;16.3602437;48.1798572
eßling schule;60200297;16.5263602;48.2140902
eßling friedhof;60200298;16.5316513;48.216263
aspernstraße;60200299;16.474761;48.2224458
